ils_unit_id,scope,unit,source,confirmed_on,note
1481234,SF206,Upper G2,proposed: matched on unit id,,SF206 | 2 Bedroom Upper Suite – Great Value | North Edmonton
1455141,SF207,Bsmt,proposed: matched on unit id,,SF207 - 3-BEDROOM BASEMENT SUITE | SF207
1559675,SF208,Bsmt,proposed: matched on unit id,,SF208 | 3 Bedroom Basement Suite – North Edmonton
1455093,SF210,11156 - Bsmt,proposed: matched on unit id,,"SF210 – 3 Bed | 1 Bath Basement Suite in Highlands, NE Edmonton | 11156 51 Stree"
1577500,SF211,Bsmt,proposed: matched on unit id,,SF211 | 11418 62 Street | 2 Bed 1 Bath Bsmt in the Highlands
1422145,SF212,6404 - Bsmt,proposed: matched on unit id,,"SF212 – 6404, 6406 &amp; 6408 119 Ave NW | Multiple Units Available | 1 MONTH FR"
1422145,SF212,6408 Bsmt,proposed: matched on unit id,,"SF212 – 6404, 6406 &amp; 6408 119 Ave NW | Multiple Units Available | 1 MONTH FR"
1455116,SF213,8637 - Main,proposed: matched on unit id,,SF213 - 2 Bed 1 Bath Basement Suite in Idylwylde | 8637 80 Street
1455116,SF213,8637 Bsmt,proposed: matched on unit id,,SF213 - 2 Bed 1 Bath Basement Suite in Idylwylde | 8637 80 Street
1532427,SF214,11835 - Main,proposed: matched on unit id,,SF214 | 1 Month Free – Spacious 4 Bedroom Main Floor Home – Northwest Edmonton
1560844,SF214,11835 - Main,proposed: matched on unit id,,"SF214 - 11835, 11837 54 Street - Monarch8 - 11835 G"
1532427,SF214,11837 Main,proposed: matched on unit id,,SF214 | 1 Month Free – Spacious 4 Bedroom Main Floor Home – Northwest Edmonton
1560844,SF214,11837 Main,proposed: matched on unit id,,"SF214 - 11835, 11837 54 Street - Monarch8 - 11835 G"
1537797,SF216,Full House,proposed: matched on unit id,,"SF216 – 4 Bedroom, 2 Bathroom Full House"
1556100,SF216,G2,proposed: matched on unit id,,"SF216 |   2 Bedroom, 1 Bathroom Garden Suite in 11820 61 Street | NW Edmonton"
1455102,SF216,G4,proposed: matched on unit id,,"SF216 |   2 Bedroom, 1 Bathroom Garden Suite in 11820 61 Street | NW Edmonton"
1455096,SF218,Bsmt G3,proposed: matched on unit id,,SF218 - 2 Bed 1 Bath Garden Suite in Beacon Heights - 11936 47 Street NW
1455095,SF218,Upper G2,proposed: matched on unit id,,SF218 - 2 Bed 1 Bath Garden Suite in Beacon Heights - 11936 47 Street NW
1532430,SF221,12224 G1 Bsmt,proposed: matched on unit id,,SF221 | 1 Month Free + $100 Off Monthly Rent – 2 Bedroom Basement Suite – North 
1532430,SF221,Bsmt,proposed: matched on unit id,,SF221 | 1 Month Free + $100 Off Monthly Rent – 2 Bedroom Basement Suite – North 
1493050,SF221,Main,proposed: matched on unit id,,SF221 – Newton Duplex for Rent | 3-Bed Main + 2-Bed Basement | 12224 60 St NW Ed
1422150,SF222,12228 Bsmt,proposed: matched on unit id,,SF222 - 1 Bed + Loft 1 Bath in Montrose - 12228 - Garden
1577512,SF222,12228 Bsmt,proposed: matched on unit id,,SF222 | 2 Bed 1 Bath Basement Suite in Montrose | 12228 60 Street NW
1422150,SF222,12228 Main,proposed: matched on unit id,,SF222 - 1 Bed + Loft 1 Bath in Montrose - 12228 - Garden
1455098,SF222,12228 Main,proposed: matched on unit id,,SF222 – Montrose Duplex for Rent | 4-Bed 2.5-Bath Main Floor | 12228 60 St NW Ed
1577512,SF222,12228 Main,proposed: matched on unit id,,SF222 | 2 Bed 1 Bath Basement Suite in Montrose | 12228 60 Street NW
